"","x"
"1",23.4
"2",24.5
"3",25
"4",27.6
"5",22.8
"6",24.9
"7",22.8
"8",27
"9",21.1
"10",27.6
"11",25
"12",22.7
"13",22.6
"14",21
"15",21.4
"16",22.7
"17",22.7
"18",27
"19",21
"20",27.9
"21",20.7
"22",21
"23",21.8
"24",22.7
"25",27.7
"26",23
"27",22.7
"28",23.4
"29",23.4
"30",23
"31",22.8
"32",25
"33",22.7
"34",22.8
"35",26.3
"36",20.7
"37",27.9
"38",21
"39",22.6
"40",26.3
"41",27
"42",22.7
"43",27.9
"44",22.8
"45",23
"46",18.2
"47",21
"48",22.6
"49",21
"50",20.7
"51",27.5
"52",23
"53",27
"54",24.9
"55",21
"56",25
"57",27
"58",23
"59",27
"60",21
"61",27.9
"62",22.7
"63",23
"64",23
"65",24
"66",26.3
"67",23.6
